52s-10u,881652,520100,310552
52s-10s,874884,523305,314115
52s-11u,823473,848726,40105
52s-20u,645509,373340,693455
52s-20s,627398,444020,640886
52s-21u,613742,407506,691056
52s-21s,598355,475193,638756
52s-22u,620389,1032996,58919
52s-30u,808165,572697,331442
52s-30s,799795,577224,335285
52s-31u,785549,595745,331010
52s-31s,777046,600093,335165
52s-32u,573038,433650,705616
52s-32s,561087,499566,651651
52s-33u,554460,1125482,32362
52s-40u,827579,548882,335843
52s-40s,819862,552696,339746
52s-41u,804963,571930,335411
52s-41s,797113,575565,339626
52s-42u,572194,409087,731023
52s-42s,560274,477199,674831
52s-43u,701830,675760,334714
52s-43s,690547,682506,339251
52s-44u,547108,1139501,25695
52s-50u,586697,347614,777993
52s-50s,572226,420564,719514
52s-51u,556982,355827,799495
52s-51s,545100,428038,739166
52s-52u,122543,36957,1552804
52s-52s,122543,122543,1467218
53u-00u,833577,828716,50011
53u-10u,865373,523547,323384
53u-10s,825918,588115,298271
53u-11u,810037,860818,41449
53u-20u,849745,521596,340963
53u-20s,812066,585879,314359
53u-21u,826367,545091,340846
53u-21s,789946,608110,314248
53u-22u,791324,886941,34039
53u-30u,620061,363524,728719
53u-30s,598002,434916,679386
53u-31u,585913,400209,726182
53u-31s,566235,469082,676987
53u-32u,552813,415280,744211
53u-32s,535489,483309,693506
53u-33u,573732,1078465,60107
53u-40u,809456,539253,363595
53u-40s,774161,603099,335044
53u-41u,786240,562586,363478
53u-41s,752203,625168,334933
53u-42u,763276,585667,363361
53u-42s,730491,646991,334822
53u-43u,514497,418709,779098
53u-43s,501879,475335,735090
53u-44u,501139,1184297,26868
53u-50u,559486,347824,804994
53u-50s,544302,416646,751356
53u-51u,526999,356330,828975
53u-51s,514233,424859,773212
53u-52u,494758,364434,853112
53u-52s,484374,432712,795218
53u-53u,12653,12653,1686998
53s-00u,864455,799822,48027
53s-10u,901269,512077,298958
53s-10s,895041,514881,302382
53s-11u,843062,829580,39662
53s-20u,887279,509996,315029
53s-20s,880660,512982,318662
53s-21u,864501,533206,314597
53s-21s,857749,536013,318542
53s-22u,826244,853570,32490
53s-30u,664402,368516,679386
53s-30s,644674,439708,627922
53s-31u,632635,402682,676987
53s-31s,615631,470866,625807
53s-32u,601889,416909,693506
53s-32s,587552,483794,640958
53s-33u,635633,1019774,56897
53s-40u,848821,527786,335697
53s-40s,841588,531117,339599
53s-41u,826205,550834,335265
53s-41s,818839,553986,339479
53s-42u,803830,573528,334946
53s-42s,796342,576603,339359
53s-43u,568036,409178,735090
53s-43s,556457,477169,678678
53s-44u,560763,1125936,25605
53s-50u,618283,342665,751356
53s-50s,601292,416127,694885
53s-51u,588214,350878,773212
53s-51s,573833,423601,714870
53s-52u,558355,358731,795218
53s-52s,546569,430739,734996
53s-53u,122543,37082,1552679
53s-53s,122543,122543,1467218
54u-00u,857662,805704,48938
54u-10u,907077,512875,292352
54u-10s,864230,578252,269822
54u-11u,833373,838555,40376
54u-20u,890701,517144,304459
54u-20s,849666,581720,280918
54u-21u,866762,541200,304342
54u-21s,826995,604502,280807
54u-22u,814660,864678,32966
54u-30u,879571,511477,321256
54u-30s,839928,576074,296302
54u-31u,855632,535533,321139
54u-31s,817257,598856,296191
54u-32u,835778,555504,321022
54u-32s,798472,617752,296080
54u-33u,796696,888900,26708
54u-40u,647841,330137,734326
54u-40s,624071,403771,684462
54u-41u,613692,366823,731789
54u-41s,592304,437937,682063
54u-42u,580592,381894,749818
54u-42s,561558,452164,698582
54u-43u,547452,390735,774117
54u-43s,530790,460665,720849
54u-44u,591817,1069819,50668
54u-50u,594899,342702,774703
54u-50s,577375,411697,723232
54u-51u,562428,358176,791700
54u-51s,547309,426284,738711
54u-52u,529983,367270,815051
54u-52s,517240,435037,760027
54u-53u,497743,375121,839440
54u-53s,487381,442638,782285
54u-54u,12653,12653,1686998
